DATE,TXNQGSP
2018-01-01,1766113.2
2018-04-01,1802316.0
2018-07-01,1825684.1
2018-10-01,1837994.3
2019-01-01,1833669.0
2019-04-01,1854387.9
2019-07-01,1878886.8
2019-10-01,1892545.3
2020-01-01,1840874.8
2020-04-01,1676440.7
2020-07-01,1819976.6
2020-10-01,1871282.8
2021-01-01,1957009.4
